cui	Disease Name	cui	Disease Name	MeSH Disease Class	UMLS Semantic Type	cui	Disease Name	gene	Symbol	gene	Symbol	Uniprot	Gene Name	Pathway	Panther Protein Class	gene	Symbol	Score	Score	Disease	# Of PMIDs	Gene	Disease	Gene	# Of PMIDs	Disease	# Of PMIDs	# Of PMIDs	Gene
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	6517	SLC2A4	6517	SLC2A4	P14672	solute carrier family 2 (facilitated glucose transporter), member 4	Developmental Biology; Membrane Trafficking; Transmembrane transport of small molecules; Metabolism	transporter	6517	SLC2A4	0.551294245808995	0.551294245808995	umls:C0011860	48	6517	umls:C0011860	6517	48	umls:C0011860	48	48	6517
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	5078	PAX4	5078	PAX4	O43316	paired box 4	Developmental Biology	nucleic acid binding; transcription factor	5078	PAX4	0.527304459957209	0.527304459957209	umls:C0011860	13	5078	umls:C0011860	5078	13	umls:C0011860	13	13	5078
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	2645	GCK	2645	GCK	P35557	glucokinase (hexokinase 4)	Developmental Biology; Transmembrane transport of small molecules; Metabolism	kinase; transferase	2645	GCK	0.52281260614472	0.52281260614472	umls:C0011860	160	2645	umls:C0011860	2645	160	umls:C0011860	160	160	2645
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3159	HMGA1	3159	HMGA1	P17096	high mobility group AT-hook 1	Cellular responses to stress	nucleic acid binding	3159	HMGA1	0.514585104080097	0.514585104080097	umls:C0011860	8	3159	umls:C0011860	3159	8	umls:C0011860	8	8	3159
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	5167	ENPP1	5167	ENPP1	P22413	ectonucleotide pyrophosphatase/phosphodiesterase 1	Metabolism	hydrolase; phosphatase	5167	ENPP1	0.485280282718944	0.485280282718944	umls:C0011860	56	5167	umls:C0011860	5167	56	umls:C0011860	56	56	5167
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	6833	ABCC8	6833	ABCC8	Q09428	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	Neuronal System; Transmembrane transport of small molecules; Metabolism	transporter	6833	ABCC8	0.481740416893566	0.481740416893566	umls:C0011860	55	6833	umls:C0011860	6833	55	umls:C0011860	55	55	6833
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	10644	IGF2BP2	10644	IGF2BP2	Q9Y6M1	insulin-like growth factor 2 mRNA binding protein 2	Gene Expression	enzyme modulator; nucleic acid binding	10644	IGF2BP2	0.481056678233653	0.481056678233653	umls:C0011860	86	10644	umls:C0011860	10644	86	umls:C0011860	86	86	10644
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	56729	RETN	56729	RETN	Q9HD89	resistin	null	null	56729	RETN	0.467682021728057	0.467682021728057	umls:C0011860	54	56729	umls:C0011860	56729	54	umls:C0011860	54	54	56729
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	4760	NEUROD1	4760	NEUROD1	Q13562	neuronal differentiation 1	Developmental Biology	nucleic acid binding; transcription factor	4760	NEUROD1	0.452303677091916	0.452303677091916	umls:C0011860	28	4760	umls:C0011860	4760	28	umls:C0011860	28	28	4760
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3952	LEP	3952	LEP	P41159	leptin	Developmental Biology; Signal Transduction; Metabolism of proteins	signaling molecule	3952	LEP	0.450563004423745	0.450563004423745	umls:C0011860	60	3952	umls:C0011860	3952	60	umls:C0011860	60	60	3952
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3990	LIPC	3990	LIPC	P11150	lipase, hepatic	null	hydrolase; storage protein	3990	LIPC	0.444706981831615	0.444706981831615	umls:C0011860	16	3990	umls:C0011860	3990	16	umls:C0011860	16	16	3990
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3630	INS	3630	INS	P01308	insulin	Developmental Biology; Metabolism of proteins; Signal Transduction; Metabolism	signaling molecule	3630	INS	0.442612885323647	0.442612885323647	umls:C0011860	2252	3630	umls:C0011860	3630	2252	umls:C0011860	2252	2252	3630
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	2642	GCGR	2642	GCGR	P47871	glucagon receptor	Signal Transduction; Metabolism	defense/immunity protein; receptor	2642	GCGR	0.421770780249635	0.421770780249635	umls:C0011860	17	2642	umls:C0011860	2642	17	umls:C0011860	17	17	2642
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	6927	HNF1A	6927	HNF1A	P20823	HNF1 homeobox A	Developmental Biology	nucleic acid binding; transcription factor	6927	HNF1A	0.416517577470432	0.416517577470432	umls:C0011860	132	6927	umls:C0011860	6927	132	umls:C0011860	132	132	6927
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	2820	GPD2	2820	GPD2	P43304	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	Metabolism	null	2820	GPD2	0.413734590369816	0.413734590369816	umls:C0011860	7	2820	umls:C0011860	2820	7	umls:C0011860	7	7	2820
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	9370	ADIPOQ	9370	ADIPOQ	Q15848	adiponectin, C1Q and collagen domain containing	Developmental Biology	defense/immunity protein; extracellular matrix protein	9370	ADIPOQ	0.410708801829034	0.410708801829034	umls:C0011860	132	9370	umls:C0011860	9370	132	umls:C0011860	132	132	9370
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	7124	TNF	7124	TNF	P01375	tumor necrosis factor	Developmental Biology; Programmed Cell Death	signaling molecule	7124	TNF	0.403904692146786	0.403904692146786	umls:C0011860	105	7124	umls:C0011860	7124	105	umls:C0011860	105	105	7124
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	54901	CDKAL1	54901	CDKAL1	Q5VV42	CDK5 regulatory subunit associated protein 1-like 1	null	null	54901	CDKAL1	0.388711301626182	0.388711301626182	umls:C0011860	112	54901	umls:C0011860	54901	112	umls:C0011860	112	112	54901
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	10891	PPARGC1A	10891	PPARGC1A	Q9UBK2	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	Organelle biogenesis and maintenance; Developmental Biology; Circadian Clock; Metabolism	transcription factor	10891	PPARGC1A	0.38751935521358	0.38751935521358	umls:C0011860	62	10891	umls:C0011860	10891	62	umls:C0011860	62	62	10891
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	4846	NOS3	4846	NOS3	P29474	nitric oxide synthase 3 (endothelial cell)	Hemostasis; Signal Transduction; Metabolism	calcium-binding protein; oxidoreductase	4846	NOS3	0.383295750728289	0.383295750728289	umls:C0011860	58	4846	umls:C0011860	4846	58	umls:C0011860	58	58	4846
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	7351	UCP2	7351	UCP2	P55851	uncoupling protein 2 (mitochondrial, proton carrier)	Metabolism	calcium-binding protein; transfer/carrier protein; transporter	7351	UCP2	0.38312897567792	0.38312897567792	umls:C0011860	56	7351	umls:C0011860	7351	56	umls:C0011860	56	56	7351
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3953	LEPR	3953	LEPR	P48357	leptin receptor	Signal Transduction	defense/immunity protein; receptor; signaling molecule	3953	LEPR	0.348598050788214	0.348598050788214	umls:C0011860	26	3953	umls:C0011860	3953	26	umls:C0011860	26	26	3953
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3651	PDX1	3651	PDX1	P52945	pancreatic and duodenal homeobox 1	Developmental Biology	nucleic acid binding; transcription factor	3651	PDX1	0.343582349262229	0.343582349262229	umls:C0011860	43	3651	umls:C0011860	3651	43	umls:C0011860	43	43	3651
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	8660	IRS2	8660	IRS2	Q9Y4H2	insulin receptor substrate 2	Immune System; Signal Transduction	null	8660	IRS2	0.340102299396393	0.340102299396393	umls:C0011860	27	8660	umls:C0011860	8660	27	umls:C0011860	27	27	8660
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	5468	PPARG	5468	PPARG	P37231	peroxisome proliferator-activated receptor gamma	Developmental Biology; Gene Expression; Metabolism	nucleic acid binding; receptor; transcription factor	5468	PPARG	0.340077420854321	0.340077420854321	umls:C0011860	267	5468	umls:C0011860	5468	267	umls:C0011860	267	267	5468
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3383	ICAM1	3383	ICAM1	P05362	intercellular adhesion molecule 1	Extracellular matrix organization; Immune System	cell adhesion molecule; signaling molecule	3383	ICAM1	0.338372307909717	0.338372307909717	umls:C0011860	17	3383	umls:C0011860	3383	17	umls:C0011860	17	17	3383
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	5506	PPP1R3A	5506	PPP1R3A	Q16821	protein phosphatase 1, regulatory subunit 3A	null	enzyme modulator	5506	PPP1R3A	0.331371585855717	0.331371585855717	umls:C0011860	15	5506	umls:C0011860	5506	15	umls:C0011860	15	15	5506
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	4843	NOS2	4843	NOS2	P35228	nitric oxide synthase 2, inducible	Hemostasis	calcium-binding protein; oxidoreductase	4843	NOS2	0.32678648177562	0.32678648177562	umls:C0011860	9	4843	umls:C0011860	4843	9	umls:C0011860	9	9	4843
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	1906	EDN1	1906	EDN1	P05305	endothelin 1	Signal Transduction	null	1906	EDN1	0.319219239118792	0.319219239118792	umls:C0011860	12	1906	umls:C0011860	1906	12	umls:C0011860	12	12	1906
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	7132	TNFRSF1A	7132	TNFRSF1A	P19438	tumor necrosis factor receptor superfamily, member 1A	Programmed Cell Death	receptor	7132	TNFRSF1A	0.318290730383799	0.318290730383799	umls:C0011860	8	7132	umls:C0011860	7132	8	umls:C0011860	8	8	7132
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	488	ATP2A2	488	ATP2A2	P16615	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	null	hydrolase; transporter	488	ATP2A2	0.312522577064729	0.312522577064729	umls:C0011860	3	488	umls:C0011860	488	3	umls:C0011860	3	3	488
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	1909	EDNRA	1909	EDNRA	P25101	endothelin receptor type A	Signal Transduction	receptor	1909	EDNRA	0.310850513710281	0.310850513710281	umls:C0011860	5	1909	umls:C0011860	1909	5	umls:C0011860	5	5	1909
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	1374	CPT1A	1374	CPT1A	P50416	carnitine palmitoyltransferase 1A (liver)	Signal Transduction; Circadian Clock; Metabolism	transferase	1374	CPT1A	0.310283504570094	0.310283504570094	umls:C0011860	3	1374	umls:C0011860	1374	3	umls:C0011860	3	3	1374
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	1910	EDNRB	1910	EDNRB	P24530	endothelin receptor type B	Signal Transduction	receptor	1910	EDNRB	0.310283504570094	0.310283504570094	umls:C0011860	3	1910	umls:C0011860	1910	3	umls:C0011860	3	3	1910
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3767	KCNJ11	3767	KCNJ11	Q14654	potassium channel, inwardly rectifying subfamily J, member 11	Neuronal System; Metabolism	null	3767	KCNJ11	0.294381393028056	0.294381393028056	umls:C0011860	133	3767	umls:C0011860	3767	133	umls:C0011860	133	133	3767
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	79068	FTO	79068	FTO	Q9C0B1	fat mass and obesity associated	null	null	79068	FTO	0.289845319906557	0.289845319906557	umls:C0011860	106	79068	umls:C0011860	79068	106	umls:C0011860	106	106	79068
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	169026	SLC30A8	169026	SLC30A8	Q8IWU4	solute carrier family 30 (zinc transporter), member 8	Metabolism of proteins; Transmembrane transport of small molecules	transporter	169026	SLC30A8	0.288994806196276	0.288994806196276	umls:C0011860	119	169026	umls:C0011860	169026	119	umls:C0011860	119	119	169026
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3784	KCNQ1	3784	KCNQ1	P51787	potassium channel, voltage gated KQT-like subfamily Q, member 1	Neuronal System	transporter	3784	KCNQ1	0.285309246785058	0.285309246785058	umls:C0011860	67	3784	umls:C0011860	3784	67	umls:C0011860	67	67	3784
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3087	HHEX	3087	HHEX	Q03014	hematopoietically expressed homeobox	null	nucleic acid binding; transcription factor	3087	HHEX	0.284458733074777	0.284458733074777	umls:C0011860	99	3087	umls:C0011860	3087	99	umls:C0011860	99	99	3087
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	7466	WFS1	7466	WFS1	O76024	Wolfram syndrome 1 (wolframin)	Metabolism of proteins	null	7466	WFS1	0.276804109682248	0.276804109682248	umls:C0011860	48	7466	umls:C0011860	7466	48	umls:C0011860	48	48	7466
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	221895	JAZF1	221895	JAZF1	Q86VZ6	JAZF zinc finger 1	null	null	221895	JAZF1	0.274536073121499	0.274536073121499	umls:C0011860	40	221895	umls:C0011860	221895	40	umls:C0011860	40	40	221895
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	3375	IAPP	3375	IAPP	P10997	islet amyloid polypeptide	Developmental Biology; Signal Transduction	signaling molecule	3375	IAPP	0.273812651716652	0.273812651716652	umls:C0011860	76	3375	umls:C0011860	3375	76	umls:C0011860	76	76	3375
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	7422	VEGFA	7422	VEGFA	P15692	vascular endothelial growth factor A	Cellular responses to stress; Hemostasis; Signal Transduction; Developmental Biology	signaling molecule	7422	VEGFA	0.271846721006401	0.271846721006401	umls:C0011860	42	7422	umls:C0011860	7422	42	umls:C0011860	42	42	7422
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	56999	ADAMTS9	56999	ADAMTS9	Q9P2N4	ADAM metallopeptidase with thrombospondin type 1 motif, 9	Metabolism of proteins; Extracellular matrix organization	enzyme modulator; extracellular matrix protein; hydrolase; protease	56999	ADAMTS9	0.266743638744715	0.266743638744715	umls:C0011860	27	56999	umls:C0011860	56999	27	umls:C0011860	27	27	56999
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	63892	THADA	63892	THADA	Q6YHU6	thyroid adenoma associated	null	receptor	63892	THADA	0.264426571225368	0.264426571225368	umls:C0011860	27	63892	umls:C0011860	63892	27	umls:C0011860	27	27	63892
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	4853	NOTCH2	4853	NOTCH2	Q04721	notch 2	Signal Transduction; Gene Expression	defense/immunity protein; receptor; signaling molecule	4853	NOTCH2	0.261825999135926	0.261825999135926	umls:C0011860	25	4853	umls:C0011860	4853	25	umls:C0011860	25	25	4853
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	4544	MTNR1B	4544	MTNR1B	P49286	melatonin receptor 1B	Signal Transduction	receptor	4544	MTNR1B	0.258462294071905	0.258462294071905	umls:C0011860	41	4544	umls:C0011860	4544	41	umls:C0011860	41	41	4544
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	2646	GCKR	2646	GCKR	Q14397	glucokinase (hexokinase 4) regulator	Transmembrane transport of small molecules; Metabolism	null	2646	GCKR	0.250993113332273	0.250993113332273	umls:C0011860	30	2646	umls:C0011860	2646	30	umls:C0011860	30	30	2646
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	6513	SLC2A1	6513	SLC2A1	P11166	solute carrier family 2 (facilitated glucose transporter), member 1	Transmembrane transport of small molecules; Metabolism	transporter	6513	SLC2A1	0.250377073233488	0.250377073233488	umls:C0011860	34	6513	umls:C0011860	6513	34	umls:C0011860	34	34	6513
C0011860	Diabetes Mellitus, Type 2	C0011860	Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases;Endocrine System Diseases	Disease or Syndrome	C0011860	Diabetes Mellitus, Type 2	5465	PPARA	5465	PPARA	Q07869	peroxisome proliferator-activated receptor alpha	null	nucleic acid binding; receptor; transcription factor	5465	PPARA	0.246749930491858	0.246749930491858	umls:C0011860	45	5465	umls:C0011860	5465	45	umls:C0011860	45	45	5465
